# == pyFAI calibration ==
# Distance Sample to Detector: 0.33908073478462813 m
# PONI: 2.851e-01, 1.239e-01 m
# Rotations: 0.000182 0.001326 -0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 339.081 mm
# Center: x=720.163, y=1660.441 pix
# Tilt: 0.077 deg  TiltPlanRot: 97.803 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.94369802997835e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lab6_200_00_0001p.xy
#       2th_deg             I 
  1.425549e+00    2.895604e+02
  1.434110e+00    2.900968e+02
  1.442672e+00    2.948839e+02
  1.451234e+00    2.974713e+02
  1.459796e+00    2.975804e+02
  1.468358e+00    3.012203e+02
  1.476920e+00    3.038022e+02
  1.485482e+00    3.045937e+02
  1.494043e+00    3.053603e+02
  1.502605e+00    3.088806e+02
  1.511167e+00    3.099560e+02
  1.519729e+00    3.086544e+02
  1.528291e+00    3.131326e+02
  1.536853e+00    3.155448e+02
  1.545415e+00    3.161562e+02
  1.553976e+00    3.175288e+02
  1.562538e+00    3.198117e+02
  1.571100e+00    3.205515e+02
  1.579662e+00    3.209207e+02
  1.588224e+00    3.239931e+02
  1.596786e+00    3.254324e+02
  1.605348e+00    3.256538e+02
  1.613909e+00    3.280821e+02
  1.622471e+00    3.308092e+02
  1.631033e+00    3.324782e+02
  1.639595e+00    3.335035e+02
  1.648157e+00    3.357733e+02
  1.656719e+00    3.376638e+02
  1.665281e+00    3.372999e+02
  1.673842e+00    3.402795e+02
  1.682404e+00    3.421252e+02
  1.690966e+00    3.424631e+02
  1.699528e+00    3.442908e+02
  1.708090e+00    3.465348e+02
  1.716652e+00    3.468773e+02
  1.725214e+00    3.474043e+02
  1.733775e+00    3.514094e+02
  1.742337e+00    3.545981e+02
  1.750899e+00    3.539109e+02
  1.759461e+00    3.562513e+02
  1.768023e+00    3.572854e+02
  1.776585e+00    3.565589e+02
  1.785146e+00    3.572193e+02
  1.793708e+00    3.590005e+02
  1.802270e+00    3.618288e+02
  1.810832e+00    3.613305e+02
  1.819394e+00    3.643338e+02
  1.827956e+00    3.664561e+02
  1.836518e+00    3.658050e+02
  1.845079e+00    3.665415e+02
  1.853641e+00    3.691327e+02
  1.862203e+00    3.698580e+02
  1.870765e+00    3.700511e+02
  1.879327e+00    3.731366e+02
  1.887889e+00    3.756783e+02
  1.896451e+00    3.749183e+02
  1.905012e+00    3.770597e+02
  1.913574e+00    3.779585e+02
  1.922136e+00    3.764550e+02
  1.930698e+00    3.774810e+02
  1.939260e+00    3.788146e+02
  1.947822e+00    3.802679e+02
  1.956384e+00    3.793611e+02
  1.964945e+00    3.827105e+02
  1.973507e+00    3.848485e+02
  1.982069e+00    3.847258e+02
  1.990631e+00    3.874814e+02
  1.999193e+00    3.895104e+02
  2.007755e+00    3.901062e+02
  2.016317e+00    3.904819e+02
  2.024878e+00    3.924118e+02
  2.033440e+00    3.928687e+02
  2.042002e+00    3.913137e+02
  2.050564e+00    3.930019e+02
  2.059126e+00    3.946361e+02
  2.067688e+00    3.944425e+02
  2.076250e+00    3.965670e+02
  2.084811e+00    4.001226e+02
  2.093373e+00    4.006429e+02
  2.101935e+00    4.007270e+02
  2.110497e+00    4.041401e+02
  2.119059e+00    4.052363e+02
  2.127621e+00    4.044755e+02
  2.136182e+00    4.067854e+02
  2.144744e+00    4.071472e+02
  2.153306e+00    4.062169e+02
  2.161868e+00    4.068870e+02
  2.170430e+00    4.101093e+02
  2.178992e+00    4.110081e+02
  2.187554e+00    4.106010e+02
  2.196115e+00    4.138019e+02
  2.204677e+00    4.143091e+02
  2.213239e+00    4.139730e+02
  2.221801e+00    4.154439e+02
  2.230363e+00    4.170038e+02
  2.238925e+00    4.181607e+02
  2.247487e+00    4.177184e+02
  2.256048e+00    4.199389e+02
  2.264610e+00    4.218683e+02
  2.273172e+00    4.212336e+02
  2.281734e+00    4.247194e+02
  2.290296e+00    4.271263e+02
  2.298858e+00    4.271932e+02
  2.307420e+00    4.278280e+02
  2.315981e+00    4.295443e+02
  2.324543e+00    4.304725e+02
  2.333105e+00    4.296349e+02
  2.341667e+00    4.324156e+02
  2.350229e+00    4.332766e+02
  2.358791e+00    4.327300e+02
  2.367353e+00    4.350253e+02
  2.375914e+00    4.362934e+02
  2.384476e+00    4.362009e+02
  2.393038e+00    4.359598e+02
  2.401600e+00    4.373655e+02
  2.410162e+00    4.386442e+02
  2.418724e+00    4.387393e+02
  2.427286e+00    4.414336e+02
  2.435847e+00    4.420421e+02
  2.444409e+00    4.417757e+02
  2.452971e+00    4.428792e+02
  2.461533e+00    4.438694e+02
  2.470095e+00    4.450987e+02
  2.478657e+00    4.448380e+02
  2.487218e+00    4.464532e+02
  2.495780e+00    4.471427e+02
  2.504342e+00    4.462060e+02
  2.512904e+00    4.473838e+02
  2.521466e+00    4.485504e+02
  2.530028e+00    4.492105e+02
  2.538590e+00    4.503831e+02
  2.547151e+00    4.524593e+02
  2.555713e+00    4.533807e+02
  2.564275e+00    4.520027e+02
  2.572837e+00    4.528210e+02
  2.581399e+00    4.523695e+02
  2.589961e+00    4.519240e+02
  2.598523e+00    4.524987e+02
  2.607084e+00    4.542621e+02
  2.615646e+00    4.561085e+02
  2.624208e+00    4.554716e+02
  2.632770e+00    4.569472e+02
  2.641332e+00    4.583803e+02
  2.649894e+00    4.577448e+02
  2.658456e+00    4.588277e+02
  2.667017e+00    4.594037e+02
  2.675579e+00    4.602871e+02
  2.684141e+00    4.608679e+02
  2.692703e+00    4.619004e+02
  2.701265e+00    4.639747e+02
  2.709827e+00    4.630245e+02
  2.718389e+00    4.639158e+02
  2.726950e+00    4.653711e+02
  2.735512e+00    4.653815e+02
  2.744074e+00    4.656810e+02
  2.752636e+00    4.672933e+02
  2.761198e+00    4.688956e+02
  2.769760e+00    4.676348e+02
  2.778322e+00    4.685988e+02
  2.786883e+00    4.703772e+02
  2.795445e+00    4.690419e+02
  2.804007e+00    4.696563e+02
  2.812569e+00    4.708795e+02
  2.821131e+00    4.711435e+02
  2.829693e+00    4.717523e+02
  2.838254e+00    4.728827e+02
  2.846816e+00    4.735222e+02
  2.855378e+00    4.714282e+02
  2.863940e+00    4.726229e+02
  2.872502e+00    4.734804e+02
  2.881064e+00    4.744280e+02
  2.889626e+00    4.764022e+02
  2.898187e+00    4.774965e+02
  2.906749e+00    4.783555e+02
  2.915311e+00    4.776863e+02
  2.923873e+00    4.778418e+02
  2.932435e+00    4.799646e+02
  2.940997e+00    4.784119e+02
  2.949559e+00    4.792443e+02
  2.958120e+00    4.802995e+02
  2.966682e+00    4.799408e+02
  2.975244e+00    4.800234e+02
  2.983806e+00    4.809079e+02
  2.992368e+00    4.826345e+02
  3.000930e+00    4.804340e+02
  3.009492e+00    4.814861e+02
  3.018053e+00    4.830985e+02
  3.026615e+00    4.830912e+02
  3.035177e+00    4.851060e+02
  3.043739e+00    4.874348e+02
  3.052301e+00    4.868617e+02
  3.060863e+00    4.864921e+02
  3.069425e+00    4.872897e+02
  3.077986e+00    4.886873e+02
  3.086548e+00    4.862922e+02
  3.095110e+00    4.871783e+02
  3.103672e+00    4.878321e+02
  3.112234e+00    4.865331e+02
  3.120796e+00    4.867187e+02
  3.129358e+00    4.890854e+02
  3.137919e+00    4.904789e+02
  3.146481e+00    4.895481e+02
  3.155043e+00    4.907187e+02
  3.163605e+00    4.919507e+02
  3.172167e+00    4.904489e+02
  3.180729e+00    4.907379e+02
  3.189291e+00    4.917063e+02
  3.197852e+00    4.909581e+02
  3.206414e+00    4.909686e+02
  3.214976e+00    4.920688e+02
  3.223538e+00    4.925783e+02
  3.232100e+00    4.908288e+02
  3.240662e+00    4.918517e+02
  3.249223e+00    4.929777e+02
  3.257785e+00    4.920169e+02
  3.266347e+00    4.932144e+02
  3.274909e+00    4.952411e+02
  3.283471e+00    4.954609e+02
  3.292033e+00    4.935713e+02
  3.300595e+00    4.943835e+02
  3.309156e+00    4.955083e+02
  3.317718e+00    4.933262e+02
  3.326280e+00    4.945471e+02
  3.334842e+00    4.961084e+02
  3.343404e+00    4.953401e+02
  3.351966e+00    4.960814e+02
  3.360528e+00    4.977357e+02
