# == pyFAI calibration ==
# Distance Sample to Detector: 0.43905087123459974 m
# PONI: 2.850e-01, 1.240e-01 m
# Rotations: 0.000325 0.001283 0.000004 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 439.051 mm
# Center: x=720.094, y=1660.355 pix
# Tilt: 0.076 deg  TiltPlanRot: 104.202 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.94369802997835e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lab6_300_00_0001p.xy
#       2th_deg             I 
  1.184547e+00    1.522125e+02
  1.191661e+00    1.522794e+02
  1.198776e+00    1.548604e+02
  1.205890e+00    1.572208e+02
  1.213004e+00    1.577456e+02
  1.220119e+00    1.591259e+02
  1.227233e+00    1.601668e+02
  1.234348e+00    1.607986e+02
  1.241462e+00    1.616287e+02
  1.248576e+00    1.641664e+02
  1.255691e+00    1.654357e+02
  1.262805e+00    1.653131e+02
  1.269920e+00    1.670136e+02
  1.277034e+00    1.679592e+02
  1.284148e+00    1.686437e+02
  1.291263e+00    1.717834e+02
  1.298377e+00    1.731300e+02
  1.305492e+00    1.741967e+02
  1.312606e+00    1.753501e+02
  1.319720e+00    1.762142e+02
  1.326835e+00    1.761822e+02
  1.333949e+00    1.768980e+02
  1.341064e+00    1.786445e+02
  1.348178e+00    1.793134e+02
  1.355292e+00    1.808594e+02
  1.362407e+00    1.825658e+02
  1.369521e+00    1.826924e+02
  1.376635e+00    1.827050e+02
  1.383750e+00    1.839431e+02
  1.390864e+00    1.851670e+02
  1.397979e+00    1.859684e+02
  1.405093e+00    1.874831e+02
  1.412207e+00    1.888990e+02
  1.419322e+00    1.885097e+02
  1.426436e+00    1.903028e+02
  1.433551e+00    1.915637e+02
  1.440665e+00    1.914994e+02
  1.447779e+00    1.927459e+02
  1.454894e+00    1.939892e+02
  1.462008e+00    1.936581e+02
  1.469123e+00    1.947226e+02
  1.476237e+00    1.967889e+02
  1.483351e+00    1.976686e+02
  1.490466e+00    1.987665e+02
  1.497580e+00    2.003407e+02
  1.504695e+00    2.003751e+02
  1.511809e+00    1.999562e+02
  1.518923e+00    2.014895e+02
  1.526038e+00    2.021729e+02
  1.533152e+00    2.021547e+02
  1.540267e+00    2.042541e+02
  1.547381e+00    2.063708e+02
  1.554495e+00    2.060295e+02
  1.561610e+00    2.085950e+02
  1.568724e+00    2.100474e+02
  1.575839e+00    2.091979e+02
  1.582953e+00    2.104526e+02
  1.590067e+00    2.106631e+02
  1.597182e+00    2.095172e+02
  1.604296e+00    2.107018e+02
  1.611411e+00    2.123345e+02
  1.618525e+00    2.125456e+02
  1.625639e+00    2.135625e+02
  1.632754e+00    2.154053e+02
  1.639868e+00    2.158384e+02
  1.646982e+00    2.161595e+02
  1.654097e+00    2.180499e+02
  1.661211e+00    2.177859e+02
  1.668326e+00    2.175258e+02
  1.675440e+00    2.192819e+02
  1.682554e+00    2.189212e+02
  1.689669e+00    2.182318e+02
  1.696783e+00    2.202427e+02
  1.703898e+00    2.203636e+02
  1.711012e+00    2.199680e+02
  1.718126e+00    2.220117e+02
  1.725241e+00    2.228061e+02
  1.732355e+00    2.228685e+02
  1.739470e+00    2.247239e+02
  1.746584e+00    2.253605e+02
  1.753698e+00    2.246642e+02
  1.760813e+00    2.264743e+02
  1.767927e+00    2.272838e+02
  1.775042e+00    2.270383e+02
  1.782156e+00    2.282862e+02
  1.789270e+00    2.295306e+02
  1.796385e+00    2.294406e+02
  1.803499e+00    2.302892e+02
  1.810614e+00    2.321033e+02
  1.817728e+00    2.321452e+02
  1.824842e+00    2.327785e+02
  1.831957e+00    2.338927e+02
  1.839071e+00    2.341942e+02
  1.846186e+00    2.342102e+02
  1.853300e+00    2.353768e+02
  1.860414e+00    2.358373e+02
  1.867529e+00    2.354258e+02
  1.874643e+00    2.368002e+02
  1.881758e+00    2.371237e+02
  1.888872e+00    2.370852e+02
  1.895986e+00    2.387124e+02
  1.903101e+00    2.389672e+02
  1.910215e+00    2.395308e+02
  1.917330e+00    2.398676e+02
  1.924444e+00    2.406767e+02
  1.931558e+00    2.404883e+02
  1.938673e+00    2.401017e+02
  1.945787e+00    2.414247e+02
  1.952901e+00    2.421471e+02
  1.960016e+00    2.424006e+02
  1.967130e+00    2.438224e+02
  1.974245e+00    2.440795e+02
  1.981359e+00    2.432349e+02
  1.988473e+00    2.436761e+02
  1.995588e+00    2.437405e+02
  2.002702e+00    2.430308e+02
  2.009817e+00    2.448815e+02
  2.016931e+00    2.456410e+02
  2.024045e+00    2.462443e+02
  2.031160e+00    2.476514e+02
  2.038274e+00    2.479549e+02
  2.045389e+00    2.483777e+02
  2.052503e+00    2.498798e+02
  2.059617e+00    2.507012e+02
  2.066732e+00    2.504698e+02
  2.073846e+00    2.510261e+02
  2.080961e+00    2.510934e+02
  2.088075e+00    2.513301e+02
  2.095189e+00    2.521565e+02
  2.102304e+00    2.532318e+02
  2.109418e+00    2.535046e+02
  2.116533e+00    2.533841e+02
  2.123647e+00    2.540220e+02
  2.130761e+00    2.558373e+02
  2.137876e+00    2.562157e+02
  2.144990e+00    2.576447e+02
  2.152105e+00    2.584920e+02
  2.159219e+00    2.571091e+02
  2.166333e+00    2.581179e+02
  2.173448e+00    2.590069e+02
  2.180562e+00    2.588347e+02
  2.187677e+00    2.592355e+02
  2.194791e+00    2.599313e+02
  2.201905e+00    2.592042e+02
  2.209020e+00    2.596215e+02
  2.216134e+00    2.609037e+02
  2.223249e+00    2.611957e+02
  2.230363e+00    2.617673e+02
  2.237477e+00    2.626943e+02
  2.244592e+00    2.628670e+02
  2.251706e+00    2.629633e+02
  2.258820e+00    2.638936e+02
  2.265935e+00    2.646572e+02
  2.273049e+00    2.645125e+02
  2.280164e+00    2.649716e+02
  2.287278e+00    2.661867e+02
  2.294392e+00    2.655206e+02
  2.301507e+00    2.667765e+02
  2.308621e+00    2.682940e+02
  2.315736e+00    2.675496e+02
  2.322850e+00    2.680739e+02
  2.329964e+00    2.691298e+02
  2.337079e+00    2.681335e+02
  2.344193e+00    2.683484e+02
  2.351308e+00    2.697209e+02
  2.358422e+00    2.693065e+02
  2.365536e+00    2.702125e+02
  2.372651e+00    2.713991e+02
  2.379765e+00    2.710448e+02
  2.386880e+00    2.708909e+02
  2.393994e+00    2.722827e+02
  2.401108e+00    2.725938e+02
  2.408223e+00    2.721725e+02
  2.415337e+00    2.734372e+02
  2.422452e+00    2.744956e+02
  2.429566e+00    2.739820e+02
  2.436680e+00    2.754832e+02
  2.443795e+00    2.765264e+02
  2.450909e+00    2.751471e+02
  2.458024e+00    2.760610e+02
  2.465138e+00    2.770923e+02
  2.472252e+00    2.761245e+02
  2.479367e+00    2.765134e+02
  2.486481e+00    2.773531e+02
  2.493596e+00    2.765338e+02
  2.500710e+00    2.769811e+02
  2.507824e+00    2.779245e+02
  2.514939e+00    2.780965e+02
  2.522053e+00    2.784008e+02
  2.529168e+00    2.795792e+02
  2.536282e+00    2.794872e+02
  2.543396e+00    2.795595e+02
  2.550511e+00    2.802157e+02
  2.557625e+00    2.798455e+02
  2.564739e+00    2.794729e+02
  2.571854e+00    2.808885e+02
  2.578968e+00    2.814211e+02
  2.586083e+00    2.811316e+02
  2.593197e+00    2.818463e+02
  2.600311e+00    2.827351e+02
  2.607426e+00    2.819267e+02
  2.614540e+00    2.830153e+02
  2.621655e+00    2.832493e+02
  2.628769e+00    2.816315e+02
  2.635883e+00    2.818360e+02
  2.642998e+00    2.827242e+02
  2.650112e+00    2.828100e+02
  2.657227e+00    2.830144e+02
  2.664341e+00    2.842722e+02
  2.671455e+00    2.838769e+02
  2.678570e+00    2.847306e+02
  2.685684e+00    2.868213e+02
  2.692799e+00    2.870907e+02
  2.699913e+00    2.869421e+02
  2.707027e+00    2.872071e+02
  2.714142e+00    2.868466e+02
  2.721256e+00    2.861900e+02
  2.728371e+00    2.874698e+02
  2.735485e+00    2.886419e+02
  2.742599e+00    2.889322e+02
  2.749714e+00    2.905526e+02
  2.756828e+00    2.907414e+02
  2.763943e+00    2.894579e+02
  2.771057e+00    2.903693e+02
  2.778171e+00    2.905831e+02
  2.785286e+00    2.894934e+02
  2.792400e+00    2.904882e+02
  2.799515e+00    2.907938e+02
  2.806629e+00    2.899372e+02
  2.813743e+00    2.907599e+02
  2.820858e+00    2.910009e+02
  2.827972e+00    2.902497e+02
  2.835087e+00    2.903534e+02
  2.842201e+00    2.912472e+02
  2.849315e+00    2.907262e+02
  2.856430e+00    2.910984e+02
  2.863544e+00    2.930033e+02
  2.870658e+00    2.930903e+02
  2.877773e+00    2.923478e+02
  2.884887e+00    2.934094e+02
