# == pyFAI calibration ==
# Distance Sample to Detector: 0.23901849966608074 m
# PONI: 2.853e-01, 1.238e-01 m
# Rotations: -0.000136 0.001317 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 239.019 mm
# Center: x=720.196, y=1660.328 pix
# Tilt: 0.076 deg  TiltPlanRot: 84.085 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.94369802997835e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lab6_100_00_0001p.xy
#       2th_deg             I 
  1.756128e+00    6.436455e+02
  1.766675e+00    6.482212e+02
  1.777223e+00    6.504917e+02
  1.787770e+00    6.497396e+02
  1.798317e+00    6.554395e+02
  1.808865e+00    6.607779e+02
  1.819412e+00    6.644985e+02
  1.829959e+00    6.665635e+02
  1.840507e+00    6.715883e+02
  1.851054e+00    6.755531e+02
  1.861601e+00    6.767855e+02
  1.872149e+00    6.787785e+02
  1.882696e+00    6.849313e+02
  1.893243e+00    6.893182e+02
  1.903790e+00    6.909662e+02
  1.914338e+00    6.946958e+02
  1.924885e+00    7.009802e+02
  1.935432e+00    7.043566e+02
  1.945980e+00    7.054567e+02
  1.956527e+00    7.089708e+02
  1.967074e+00    7.133680e+02
  1.977622e+00    7.175380e+02
  1.988169e+00    7.165076e+02
  1.998716e+00    7.194422e+02
  2.009264e+00    7.230976e+02
  2.019811e+00    7.276349e+02
  2.030358e+00    7.248775e+02
  2.040906e+00    7.290723e+02
  2.051453e+00    7.343854e+02
  2.062000e+00    7.403893e+02
  2.072548e+00    7.380875e+02
  2.083095e+00    7.445324e+02
  2.093642e+00    7.492640e+02
  2.104189e+00    7.521584e+02
  2.114737e+00    7.485789e+02
  2.125284e+00    7.538795e+02
  2.135831e+00    7.584856e+02
  2.146379e+00    7.632781e+02
  2.156926e+00    7.620601e+02
  2.167473e+00    7.697368e+02
  2.178021e+00    7.746310e+02
  2.188568e+00    7.754677e+02
  2.199115e+00    7.728314e+02
  2.209663e+00    7.783860e+02
  2.220210e+00    7.816451e+02
  2.230757e+00    7.832491e+02
  2.241305e+00    7.842469e+02
  2.251852e+00    7.906708e+02
  2.262399e+00    7.941450e+02
  2.272947e+00    7.944902e+02
  2.283494e+00    7.958926e+02
  2.294041e+00    8.015535e+02
  2.304588e+00    8.043507e+02
  2.315136e+00    8.040519e+02
  2.325683e+00    8.078762e+02
  2.336230e+00    8.127761e+02
  2.346778e+00    8.159226e+02
  2.357325e+00    8.154525e+02
  2.367872e+00    8.199167e+02
  2.378420e+00    8.234240e+02
  2.388967e+00    8.269669e+02
  2.399514e+00    8.251263e+02
  2.410062e+00    8.290703e+02
  2.420609e+00    8.324121e+02
  2.431156e+00    8.361854e+02
  2.441704e+00    8.353412e+02
  2.452251e+00    8.393531e+02
  2.462798e+00    8.435499e+02
  2.473346e+00    8.461800e+02
  2.483893e+00    8.438096e+02
  2.494440e+00    8.470933e+02
  2.504987e+00    8.500020e+02
  2.515535e+00    8.520269e+02
  2.526082e+00    8.497205e+02
  2.536629e+00    8.539624e+02
  2.547177e+00    8.565781e+02
  2.557724e+00    8.611405e+02
  2.568271e+00    8.585267e+02
  2.578819e+00    8.627516e+02
  2.589366e+00    8.650594e+02
  2.599913e+00    8.684283e+02
  2.610461e+00    8.656672e+02
  2.621008e+00    8.709606e+02
  2.631555e+00    8.736886e+02
  2.642103e+00    8.749855e+02
  2.652650e+00    8.729750e+02
  2.663197e+00    8.759451e+02
  2.673745e+00    8.782861e+02
  2.684292e+00    8.800436e+02
  2.694839e+00    8.796282e+02
  2.705386e+00    8.829506e+02
  2.715934e+00    8.870168e+02
  2.726481e+00    8.862852e+02
  2.737028e+00    8.880345e+02
  2.747576e+00    8.926962e+02
  2.758123e+00    8.973713e+02
  2.768670e+00    8.944947e+02
  2.779218e+00    8.947587e+02
  2.789765e+00    8.954205e+02
  2.800312e+00    8.980806e+02
  2.810860e+00    8.945954e+02
  2.821407e+00    8.988789e+02
  2.831954e+00    9.029980e+02
  2.842502e+00    9.070477e+02
  2.853049e+00    9.043368e+02
  2.863596e+00    9.078450e+02
  2.874144e+00    9.109244e+02
  2.884691e+00    9.137203e+02
  2.895238e+00    9.093831e+02
  2.905785e+00    9.127722e+02
  2.916333e+00    9.172607e+02
  2.926880e+00    9.182060e+02
  2.937427e+00    9.140163e+02
  2.947975e+00    9.163941e+02
  2.958522e+00    9.198721e+02
  2.969069e+00    9.218967e+02
  2.979617e+00    9.186998e+02
  2.990164e+00    9.234172e+02
  3.000711e+00    9.262584e+02
  3.011259e+00    9.272167e+02
  3.021806e+00    9.260803e+02
  3.032353e+00    9.295241e+02
  3.042901e+00    9.308460e+02
  3.053448e+00    9.318443e+02
  3.063995e+00    9.311312e+02
  3.074543e+00    9.346827e+02
  3.085090e+00    9.365754e+02
  3.095637e+00    9.362306e+02
  3.106184e+00    9.346252e+02
  3.116732e+00    9.381792e+02
  3.127279e+00    9.398358e+02
  3.137826e+00    9.392513e+02
  3.148374e+00    9.388398e+02
  3.158921e+00    9.421514e+02
  3.169468e+00    9.442549e+02
  3.180016e+00    9.418179e+02
  3.190563e+00    9.448882e+02
  3.201110e+00    9.492155e+02
  3.211658e+00    9.514509e+02
  3.222205e+00    9.487137e+02
  3.232752e+00    9.509140e+02
  3.243300e+00    9.533210e+02
  3.253847e+00    9.548771e+02
  3.264394e+00    9.523452e+02
  3.274942e+00    9.560153e+02
  3.285489e+00    9.584427e+02
  3.296036e+00    9.591931e+02
  3.306583e+00    9.549502e+02
  3.317131e+00    9.574440e+02
  3.327678e+00    9.582026e+02
  3.338225e+00    9.595397e+02
  3.348773e+00    9.558672e+02
  3.359320e+00    9.604509e+02
  3.369867e+00    9.619397e+02
  3.380415e+00    9.634227e+02
  3.390962e+00    9.603194e+02
  3.401509e+00    9.636920e+02
  3.412057e+00    9.665595e+02
  3.422604e+00    9.678429e+02
  3.433151e+00    9.672202e+02
  3.443699e+00    9.701403e+02
  3.454246e+00    9.702519e+02
  3.464793e+00    9.693008e+02
  3.475341e+00    9.680381e+02
  3.485888e+00    9.701777e+02
  3.496435e+00    9.714169e+02
  3.506982e+00    9.700769e+02
  3.517530e+00    9.711056e+02
  3.528077e+00    9.717904e+02
  3.538624e+00    9.728024e+02
  3.549172e+00    9.718187e+02
  3.559719e+00    9.731888e+02
  3.570266e+00    9.736875e+02
  3.580814e+00    9.743474e+02
  3.591361e+00    9.743622e+02
  3.601908e+00    9.772906e+02
  3.612456e+00    9.782746e+02
  3.623003e+00    9.798611e+02
  3.633550e+00    9.790608e+02
  3.644098e+00    9.784253e+02
  3.654645e+00    9.794268e+02
  3.665192e+00    9.812975e+02
  3.675740e+00    9.792388e+02
  3.686287e+00    9.815172e+02
  3.696834e+00    9.825808e+02
  3.707381e+00    9.845060e+02
  3.717929e+00    9.816049e+02
  3.728476e+00    9.850396e+02
  3.739023e+00    9.868386e+02
  3.749571e+00    9.882866e+02
  3.760118e+00    9.849492e+02
  3.770665e+00    9.867365e+02
  3.781213e+00    9.885592e+02
  3.791760e+00    9.888823e+02
  3.802307e+00    9.862632e+02
  3.812855e+00    9.884877e+02
  3.823402e+00    9.900269e+02
  3.833949e+00    9.901292e+02
  3.844497e+00    9.880451e+02
  3.855044e+00    9.891313e+02
  3.865591e+00    9.909817e+02
  3.876139e+00    9.911967e+02
  3.886686e+00    9.905633e+02
  3.897233e+00    9.929562e+02
  3.907780e+00    9.953677e+02
  3.918328e+00    9.958257e+02
  3.928875e+00    9.955104e+02
  3.939422e+00    9.964997e+02
  3.949970e+00    9.968714e+02
  3.960517e+00    9.953420e+02
  3.971064e+00    9.952845e+02
  3.981612e+00    9.959439e+02
  3.992159e+00    9.984551e+02
  4.002706e+00    9.971710e+02
  4.013254e+00    9.987201e+02
  4.023801e+00    1.000120e+03
  4.034348e+00    1.001846e+03
  4.044896e+00    9.989988e+02
  4.055443e+00    1.000926e+03
  4.065990e+00    1.002637e+03
  4.076538e+00    1.006191e+03
  4.087085e+00    1.003625e+03
  4.097632e+00    1.004384e+03
  4.108179e+00    1.003889e+03
  4.118727e+00    1.005473e+03
  4.129274e+00    1.001616e+03
  4.139821e+00    1.003508e+03
  4.150369e+00    1.005870e+03
  4.160916e+00    1.008701e+03
  4.171463e+00    1.005821e+03
  4.182011e+00    1.007237e+03
  4.192558e+00    1.008188e+03
  4.203105e+00    1.007451e+03
  4.213653e+00    1.005496e+03
  4.224200e+00    1.007144e+03
  4.234747e+00    1.009098e+03
  4.245295e+00    1.009069e+03
  4.255842e+00    1.008222e+03
  4.266389e+00    1.011145e+03
  4.276937e+00    1.012235e+03
  4.287484e+00    1.009633e+03
  4.298031e+00    1.007878e+03
  4.308578e+00    1.008933e+03
  4.319126e+00    1.011317e+03
  4.329673e+00    1.010532e+03
  4.340220e+00    1.012340e+03
  4.350768e+00    1.015140e+03
  4.361315e+00    1.017266e+03
  4.371862e+00    1.013983e+03
  4.382410e+00    1.014083e+03
  4.392957e+00    1.014406e+03
  4.403504e+00    1.017487e+03
  4.414052e+00    1.012564e+03
  4.424599e+00    1.013454e+03
  4.435146e+00    1.014196e+03
  4.445694e+00    1.016243e+03
  4.456241e+00    1.012845e+03
  4.466788e+00    1.016038e+03
  4.477336e+00    1.019004e+03
  4.487883e+00    1.021264e+03
  4.498430e+00    1.018016e+03
  4.508977e+00    1.019967e+03
  4.519525e+00    1.021589e+03
  4.530072e+00    1.021186e+03
  4.540619e+00    1.019184e+03
  4.551167e+00    1.020491e+03
  4.561714e+00    1.021304e+03
  4.572261e+00    1.018439e+03
  4.582809e+00    1.016129e+03
  4.593356e+00    1.016568e+03
  4.603903e+00    1.020737e+03
  4.614451e+00    1.021133e+03
  4.624998e+00    1.020633e+03
  4.635545e+00    1.022132e+03
  4.646093e+00    1.024178e+03
  4.656640e+00    1.021438e+03
  4.667187e+00    1.020055e+03
