# == pyFAI calibration ==
# Distance Sample to Detector: 0.13913339014869006 m
# PONI: 2.854e-01, 1.239e-01 m
# Rotations: 0.000084 0.001762 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 139.134 mm
# Center: x=720.118, y=1660.728 pix
# Tilt: 0.101 deg  TiltPlanRot: 92.738 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.943698029978349e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lab6_000_00_0001p.xy
#       2th_deg             I 
  6.616477e-03    1.711513e+01
  1.984943e-02    2.095634e+01
  3.308239e-02    2.172990e+01
  4.631534e-02    2.069072e+01
  5.954830e-02    1.924923e+01
  7.278125e-02    1.930238e+01
  8.601421e-02    1.847067e+01
  9.924716e-02    1.824347e+01
  1.124801e-01    1.762910e+01
  1.257131e-01    1.787750e+01
  1.389460e-01    1.924862e+01
  1.521790e-01    2.011411e+01
  1.654119e-01    1.987501e+01
  1.786449e-01    2.034104e+01
  1.918778e-01    2.060419e+01
  2.051108e-01    2.079812e+01
  2.183438e-01    2.031215e+01
  2.315767e-01    1.995110e+01
  2.448097e-01    1.953101e+01
  2.580426e-01    1.979709e+01
  2.712756e-01    1.984798e+01
  2.845085e-01    1.937599e+01
  2.977415e-01    1.889907e+01
  3.109744e-01    1.814015e+01
  3.242074e-01    1.823154e+01
  3.374404e-01    1.812331e+01
  3.506733e-01    1.787728e+01
  3.639063e-01    1.831739e+01
  3.771392e-01    1.848114e+01
  3.903722e-01    1.884131e+01
  4.036051e-01    1.909421e+01
  4.168381e-01    1.898341e+01
  4.300710e-01    1.884185e+01
  4.433040e-01    1.852564e+01
  4.565369e-01    1.877627e+01
  4.697699e-01    1.817305e+01
  4.830029e-01    1.785384e+01
  4.962358e-01    1.839885e+01
  5.094688e-01    1.874631e+01
  5.227017e-01    1.898917e+01
  5.359347e-01    1.927789e+01
  5.491676e-01    1.947917e+01
  5.624006e-01    1.953776e+01
  5.756335e-01    1.959130e+01
  5.888665e-01    1.969471e+01
  6.020995e-01    1.958169e+01
  6.153324e-01    1.964452e+01
  6.285654e-01    1.958161e+01
  6.417983e-01    1.979996e+01
  6.550313e-01    1.941153e+01
  6.682642e-01    1.947150e+01
  6.814972e-01    1.950489e+01
  6.947301e-01    1.948227e+01
  7.079631e-01    1.910523e+01
  7.211960e-01    1.901016e+01
  7.344290e-01    1.871299e+01
  7.476620e-01    1.861702e+01
  7.608949e-01    1.873664e+01
  7.741279e-01    1.888083e+01
  7.873608e-01    1.864702e+01
  8.005938e-01    1.907387e+01
  8.138267e-01    1.964495e+01
  8.270597e-01    1.992462e+01
  8.402926e-01    2.055278e+01
  8.535256e-01    2.097703e+01
  8.667586e-01    2.145092e+01
  8.799915e-01    2.289094e+01
  8.932245e-01    2.590754e+01
  9.064574e-01    2.949205e+01
  9.196904e-01    3.087611e+01
  9.329233e-01    3.667025e+01
  9.461563e-01    4.546524e+01
  9.593892e-01    4.898621e+01
  9.726222e-01    5.991998e+01
  9.858551e-01    7.131864e+01
  9.990881e-01    8.589147e+01
  1.012321e+00    9.298149e+01
  1.025554e+00    9.766457e+01
  1.038787e+00    1.142693e+02
  1.052020e+00    1.337858e+02
  1.065253e+00    1.479424e+02
  1.078486e+00    1.542352e+02
  1.091719e+00    1.676202e+02
  1.104952e+00    1.838973e+02
  1.118185e+00    2.045795e+02
  1.131418e+00    2.254105e+02
  1.144651e+00    2.415748e+02
  1.157884e+00    2.569165e+02
  1.171117e+00    2.721058e+02
  1.184349e+00    2.920896e+02
  1.197582e+00    3.224799e+02
  1.210815e+00    3.400421e+02
  1.224048e+00    3.529032e+02
